"행정구역(시군구)별","항목","단위","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"완주군","여자인구수[명]","명","42207","42147","41802","40970","42460","41307","40818","40159","40549","40246","40115","40500","40675","41344","41271","41999","42343","43952","46414","46530","46693","45987","44930","44532","44297","44893","47635","48314",
"진안군","총인구수[명]","명","35973","34635","33645","31273","32635","30439","30475","30757","29021","27122","30250","27230","27558","27543","28473","26963","26703","26474","26203","26069","26271","25963","25697","25394","24987","24550","24465","24161",
"진안군","남자인구수[명]","명","18195","17567","17044","15845","16362","15353","15344","15470","14686","13748","15173","13727","13851","13880","14330","13551","13404","13286","13116","13037","13149","13030","12966","12832","12667","12496","12497","12352",
"진안군","여자인구수[명]","명","17778","17068","16601","15428","16273","15086","15131","15287","14335","13374","15077","13503","13707","13663","14143","13412","13299","13188","13087","13032","13122","12933","12731","12562","12320","12054","11968","11809",
"무주군","총인구수[명]","명","30835","30580","31776","29207","30333","27894","26716","26183","25876","25417","26361","26017","25811","25578","25863","25321","25398","25390","25220","24949","24809","24589","24303","24036","23748","23489","23251","23032",
"무주군","남자인구수[명]","명","15392","15285","15714","14516","14949","13816","13260","13006","12928","12707","13126","12948","12787","12684","12830","12553","12565","12580","12484","12371","12294","12209","12090","11959","11826","11731","11629","11572",
"무주군","여자인구수[명]","명","15443","15295","16062","14691","15384","14078","13456","13177","12948","12710","13235","13069","13024","12894","13033","12768","12833","12810","12736","12578","12515","12380","12213","12077","11922","11758","11622","11460",
"장수군","총인구수[명]","명","29770","30513","30159","30051","30445","26349","29445","26788","24755","24209","26687","23864","23478","23386","23215","23191","23243","23335","23277","23628","23003","23221","22441","22085","21695","21336","20983","20663",
"장수군","남자인구수[명]","명","14832","15102","14968","14847","14884","13123","14379","13250","12380","12139","13244","11931","11735","11653","11534","11522","11535","11558","11521","11681","11410","11533","11165","11000","10812","10718","10535","10372",
"장수군","여자인구수[명]","명","14938","15411","15191","15204","15561","13226","15066","13538","12375","12070","13443","11933","11743","11733","11681","11669","11708","11777","11756","11947","11593","11688","11276","11085","10883","10618","10448","10291",
"임실군","총인구수[명]","명","41326","40519","39265","37514","37439","35071","34283","33008","32511","31976","31952","31133","30703","30593","30789","29956","29739","29966","30271","30197","30162","30072","28902","27314","26730","26508","25956","25577",
"임실군","남자인구수[명]","명","20748","20335","19687","18868","18746","17634","17183","16602","16436","16186","16108","15755","15514","15488","15643","15161","15027","15197","15368","15387","15391","15288","14659","13966","13692","13586","13354","13202",
"임실군","여자인구수[명]","명","20578","20184","19578","18646","18693","17437","17100","16406","16075","15790","15844","15378","15189","15105","15146","14795","14712","14769","14903","14810","14771","14784","14243","13348","13038","12922","12602","12375",
